sample	group	dataset	n_cells
BIOREP_7fd63aec5387d1d5	NDMM	MMRF_ImmuneAtlas	302
BIOREP_e3194c68c8199cf3	NDMM	MMRF_ImmuneAtlas	307
BIOREP_5d2f222056902dca	NDMM	MMRF_ImmuneAtlas	109
BIOREP_9202a259c782d4aa	NDMM	MMRF_ImmuneAtlas	284
BIOREP_8434b5ded476f1da	NDMM	MMRF_ImmuneAtlas	171
BIOREP_8d8ac24fed055060	NDMM	MMRF_ImmuneAtlas	293
BIOREP_76cf7ea0b7c2b330	NDMM	MMRF_ImmuneAtlas	355
BIOREP_2ea60f2aad0b775b	NDMM	MMRF_ImmuneAtlas	422
BIOREP_6d569c1313b4a4d2	NDMM	MMRF_ImmuneAtlas	317
BIOREP_66fdcfcde4531753	NDMM	MMRF_ImmuneAtlas	1598
BIOREP_38f4dd29c8ae0db7	NDMM	MMRF_ImmuneAtlas	191
BIOREP_7756b75b513c615e	NDMM	MMRF_ImmuneAtlas	2397
BIOREP_53fbce960fb06ac1	NDMM	MMRF_ImmuneAtlas	457
BIOREP_e749933b6b12222d	NDMM	MMRF_ImmuneAtlas	148
BIOREP_e77f574e5f34678b	NDMM	MMRF_ImmuneAtlas	608
BIOREP_8f47236117efee66	NDMM	MMRF_ImmuneAtlas	299
BIOREP_0f7fbe9eff21a799	NDMM	MMRF_ImmuneAtlas	470
BIOREP_a527fb1435882b73	NDMM	MMRF_ImmuneAtlas	762
BIOREP_ac16f23fbad18160	NDMM	MMRF_ImmuneAtlas	248
BIOREP_df2b30a42a68a08c	NDMM	MMRF_ImmuneAtlas	302
BIOREP_076b7c4b40f62cf5	NDMM	MMRF_ImmuneAtlas	119
BIOREP_ca97806173c02001	NDMM	MMRF_ImmuneAtlas	391
BIOREP_bcfe7a1e33799d6f	NDMM	MMRF_ImmuneAtlas	127
BIOREP_2a26b62ae3b60f6f	NDMM	MMRF_ImmuneAtlas	168
BIOREP_480b606fbe07204b	NDMM	MMRF_ImmuneAtlas	173
BIOREP_d6dc0f0fa52f37f5	NDMM	MMRF_ImmuneAtlas	276
BIOREP_3c3ca3df1a67770a	NDMM	MMRF_ImmuneAtlas	346
BIOREP_b920d0b3bfecf381	NDMM	MMRF_ImmuneAtlas	111
BIOREP_dd7ffc5d7b818ebb	NDMM	MMRF_ImmuneAtlas	138
BIOREP_9a595fcdfff08675	NDMM	MMRF_ImmuneAtlas	144
BIOREP_c63a65d5f7adc2bd	NDMM	MMRF_ImmuneAtlas	440
BIOREP_e56d16473ac34501	NDMM	MMRF_ImmuneAtlas	1424
BIOREP_7f67c06bfb9773e5	NDMM	MMRF_ImmuneAtlas	1000
BIOREP_dcd82c8d906d420f	NDMM	MMRF_ImmuneAtlas	323
BIOREP_4bd0477fc1a652fa	NDMM	MMRF_ImmuneAtlas	972
BIOREP_c9e3853000d02b0b	NDMM	MMRF_ImmuneAtlas	187
BIOREP_a037136f3b980195	NDMM	MMRF_ImmuneAtlas	777
BIOREP_233533519472f8fc	NDMM	MMRF_ImmuneAtlas	649
BIOREP_17dc145abaed5a22	NDMM	MMRF_ImmuneAtlas	584
BIOREP_b33c34410146d945	NDMM	MMRF_ImmuneAtlas	333
BIOREP_0913f61806146284	NDMM	MMRF_ImmuneAtlas	574
BIOREP_5154402be76b8b13	NDMM	MMRF_ImmuneAtlas	572
BIOREP_ff4b01cc1a9f5289	NDMM	MMRF_ImmuneAtlas	1062
BIOREP_19c4c0e8f90961ad	NDMM	MMRF_ImmuneAtlas	129
BIOREP_427e6e10fdd569cd	NDMM	MMRF_ImmuneAtlas	837
BIOREP_0fe9304bf88975c7	NDMM	MMRF_ImmuneAtlas	125
BIOREP_eb9745ccd806ca72	NDMM	MMRF_ImmuneAtlas	211
BIOREP_fa3ffb5584e09fe1	NDMM	MMRF_ImmuneAtlas	535
BIOREP_8224d47181db5164	NDMM	MMRF_ImmuneAtlas	104
BIOREP_1fc9eb04e8edeb97	NDMM	MMRF_ImmuneAtlas	259
BIOREP_44b3c0dbc20052bf	NDMM	MMRF_ImmuneAtlas	313
BIOREP_302a15f5e62f8950	NDMM	MMRF_ImmuneAtlas	176
BIOREP_f5942a563e825b6f	NDMM	MMRF_ImmuneAtlas	157
BIOREP_bd85976e7fb8f24a	NDMM	MMRF_ImmuneAtlas	143
BIOREP_0d6f0ce7324d5c3d	NDMM	MMRF_ImmuneAtlas	323
BIOREP_9ede5916ec142f75	NDMM	MMRF_ImmuneAtlas	249
BIOREP_d14e4dbf4c2aede3	NDMM	MMRF_ImmuneAtlas	651
