gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	signed_statistic	significant	direction
C17orf107	1.32742907544999	0.26119142144881	0.235239659238311	1.11032052288517	0.266860932511594	0.327174515800315	1.11032052288517	False	higher_in_group_a
C17orf99	0.287145732117996	1.46861145502071	0.587495871958549	2.49978174335891	0.0124269840752942	0.0214936522841767	2.49978174335891	True	higher_in_group_a
C18orf54	2.80220304042095	-0.230744178217562	0.18669318676836	-1.23595393175145	0.216475688215898	0.272181980756526	-1.23595393175145	False	higher_in_group_b
C19orf33	0.166524181893828	0.940239095187455	0.936284711761759	1.0042234839211	0.315270905150692	0.37886289270414	1.0042234839211	False	higher_in_group_a
C19orf38	1.56388312114052	2.07410182185529	0.426083274750057	4.8678320524831	1.12829151337333e-06	3.99035526405372e-06	4.8678320524831	True	higher_in_group_a
C19orf84	0.246147531654824	0.248090972249863	0.472078202665098	0.525529395022427	0.599215224391869	0.655552773295868	0.525529395022427	False	higher_in_group_a
C1QA	0.727367187995145	2.70664729027955	0.819105042775901	3.30439583317285	0.0009518133955706	0.0020452610185943	3.30439583317285	True	higher_in_group_a
C1QB	0.542711000269275	2.51704089271998	1.02060135663199	2.4662331441791	0.0136542427731437	0.0233682099725536	2.4662331441791	True	higher_in_group_a
C1QBP	117.787335393112	0.36023817604103	0.0813814174224291	4.42654094080385	9.57562149371172e-06	2.84755931812431e-05	4.42654094080385	True	higher_in_group_a
C1QC	0.384657947606094	2.55087178117552	1.47738700306215	1.72661041141446	0.084237654840609	0.118973420396666	1.72661041141446	False	higher_in_group_a
C1QTNF3	1.86459174519	-0.0719215023391155	0.190465899051188	-0.37760828944916	0.705721605780345	0.751875481490485	-0.37760828944916	False	higher_in_group_b
C1QTNF3-AMACR	0.0981822360338846	1.64080391700928	3.68087426608138	0.445764728268227	0.655767202720895	0.706012892974809	0.445764728268227	False	higher_in_group_a
C1QTNF7	0.675260375081189	-1.22107528189262	0.339960985204446	-3.59181004596246	0.0003283891827628	0.0007591542393538	-3.59181004596246	True	higher_in_group_b
C1R	0.920481723236483	-0.689188217840033	0.295843608920742	-2.32956939767683	0.0198289211504369	0.0326804192087346	-2.32956939767683	True	higher_in_group_b
C1RL	10.2643421322021	-0.0363159871981812	0.125838906480918	-0.288591090098897	0.772894314604899	0.812645837441577	-0.288591090098897	False	higher_in_group_b
C1RL-AS1	8.68259605577784	-0.243867891007648	0.146918725404717	-1.65988297499767	0.0969379970602149	0.134720815429192	-1.65988297499767	False	higher_in_group_b
C1S	0.561071507354319	2.8798193083205	0.47272872420189	6.09190675515331	1.11573670387945e-09	6.141853682495881e-09	6.09190675515331	True	higher_in_group_a
C1orf115	0.527077538993567	-0.0712024588931563	0.335138436393979	-0.212456857110394	0.831750632482061	0.862182550632131	-0.212456857110394	False	higher_in_group_b
C1orf162	80.0823586910786	0.305306937626907	0.158224381974175	1.9295821150797	0.0536586366062012	0.079845750936397	1.9295821150797	False	higher_in_group_a
C1orf198	1.61022168498694	1.24428633262349	0.238785364009048	5.21089865698945	1.87928092838129e-07	7.484103498588e-07	5.21089865698945	True	higher_in_group_a
C1orf21	177.801263164936	0.137277405524546	0.0659864900203546	2.08038653794436	0.0374900930271689	0.0577699837276475	2.08038653794436	False	higher_in_group_a
C1orf56	146.358122611714	0.073501260023025	0.227035989836409	0.323742769047262	0.746132788116866	0.788323920643134	0.323742769047262	False	higher_in_group_a
C1orf61	10.4318628523053	-0.318292381250942	0.142866858950776	-2.22789514369185	0.0258875081043782	0.0416774489648313	-2.22789514369185	True	higher_in_group_b
C20orf144	0.625740176971644	0.0423408958090955	0.320240488448558	0.132215935637061	0.894813496959286	0.915178096850845	0.132215935637061	False	higher_in_group_a
C20orf197	3.2766634774036	-1.39340430133536	0.216826505666902	-6.42635593397408	1.30699171269905e-10	8.14020047586639e-10	-6.42635593397408	True	higher_in_group_b
C21orf58	6.60604521044541	-0.226740955492858	0.161336824038312	-1.40538873778137	0.159905713857227	0.209024194166931	-1.40538873778137	False	higher_in_group_b
C21orf62	1.34067645170402	-1.17920644474484	0.354235636408827	-3.3288758203421	0.0008719727327822	0.0018853562239708	-3.3288758203421	True	higher_in_group_b
C2CD5	18.0435148156556	0.846340149367073	0.114881484830323	7.36707181855369	1.7441653481567199e-13	1.65616283423333e-12	7.36707181855369	True	higher_in_group_a
C2orf88	1.69852899648563	0.47983983267154	0.385877127726992	1.24350420948252	0.213682090730333	0.269063946612857	1.24350420948252	False	higher_in_group_a
C2orf92	3.37557073185841	-2.03403459829891	0.226693930186125	-8.97260282456124	2.89588761484464e-19	5.9669020301127005e-18	-8.97260282456124	True	higher_in_group_b
C3AR1	7.45747498804931	0.445889450959162	0.150798897592314	2.95684821360318	0.0031080107430803	0.006068187267295	2.95684821360318	True	higher_in_group_a
C3orf52	0.418647167660415	0.446906590551029	0.363547099247589	1.22929488772146	0.218961263348361	0.274716020658244	1.22929488772146	False	higher_in_group_a
C3orf62	9.84970893314909	-0.306005600884102	0.104578531783514	-2.92608430875238	0.0034325789973598	0.0066372530835448	-2.92608430875238	True	higher_in_group_b
C4orf19	2.39735763031454	0.122627696058209	0.257903355613831	0.47547925759378	0.634445414254101	0.68760165166458	0.47547925759378	False	higher_in_group_a
C4orf47	0.850153859652735	1.90226149076219	0.415362225539093	4.57976525981212	4.65498077962213e-06	1.46891130775849e-05	4.57976525981212	True	higher_in_group_a
C4orf50	1.50381805287744	-0.719577711947547	0.250018931364421	-2.87809290288786	0.0040008729561887	0.0076240489569857	-2.87809290288786	True	higher_in_group_b
C5AR1	3.66129771931952	3.45246735196891	0.388805191019314	8.87968430389964	6.705038389838681e-19	1.29456907874922e-17	8.87968430389964	True	higher_in_group_a
C5AR2	1.60206115565845	1.33071746026592	0.301703347412668	4.41068178950554	1.03045654321326e-05	3.04349572791543e-05	4.41068178950554	True	higher_in_group_a
C5orf17	0.850951056918402	1.52314762366259	0.575678625463032	2.64582973258298	0.0081490822994065	0.0146587874488635	2.64582973258298	True	higher_in_group_a
C5orf66	1.32854294893739	0.0266917332260979	0.261101824706604	0.102227294872761	0.918576263067543	0.933620210444746	0.102227294872761	False	higher_in_group_a
C6orf132	1.9219914892491	-0.668454447371128	0.230570020911676	-2.89913859888658	0.0037418944551423	0.0071741433595648	-2.89913859888658	True	higher_in_group_b
C7orf25	4.15971649518989	-1.79214817544799	0.223677976402274	-8.01217985012925	1.1269290251513802e-15	1.46136343485427e-14	-8.01217985012925	True	higher_in_group_b
C7orf61	0.798310367683263	0.0532390620907243	0.294463581035064	0.180800158388296	0.856524438782808	0.883470894217407	0.180800158388296	False	higher_in_group_a
C8G	2.35996332827515	0.494276784195886	0.204345280934932	2.4188314109063	0.0155704547354225	0.0262767175577072	2.4188314109063	True	higher_in_group_a
C9orf139	4.04263552436737	0.0113269410064812	0.233107999638737	0.0485909579423927	0.961245275971246	0.96942766949857	0.0485909579423927	False	higher_in_group_a
CA1	28.9758532651816	2.70376377860349	0.46459618010856	5.81959967465019	5.89887384520523e-09	2.95113525480373e-08	5.81959967465019	True	higher_in_group_a
CA2	8.0359551921513	3.2190686249771	0.424382966819809	7.58529176865834	3.31739697519516e-14	3.47260852042015e-13	7.58529176865834	True	higher_in_group_a
CA3	0.457429039343889	2.22508481494026	0.701514749734762	3.17182898261448	0.0015148218401761	0.0031448690771955	3.17182898261448	True	higher_in_group_a
CA8	0.373310774465425	2.17196621574665	0.952097433124326	2.28124364186058	0.0225340336036295	0.0367352001477342	2.28124364186058	True	higher_in_group_a
CABP4	2.56615572434697	-0.045049427778221	0.2064643034159	-0.218194753441101	0.827277372755419	0.858569966986661	-0.218194753441101	False	higher_in_group_b
